"Date","Price","Open","High","Low","Change %"
"Aug 02, 2019","0.01530","0.01550","0.01550","0.01530","-1.29%"
"Aug 01, 2019","0.01550","0.01570","0.01580","0.01550","-1.27%"
"Jul 31, 2019","0.01570","0.01570","0.01580","0.01570","-0.32%"
"Jul 30, 2019","0.01575","0.01585","0.01585","0.01575","-0.32%"
"Jul 29, 2019","0.01580","0.01580","0.01580","0.01570","0.12%"
"Jul 28, 2019","0.01578","0.01578","0.01578","0.01578","-0.12%"
"Jul 26, 2019","0.01580","0.01580","0.01590","0.01570","0.00%"
"Jul 25, 2019","0.01580","0.01580","0.01590","0.01580","0.00%"
"Jul 24, 2019","0.01580","0.01580","0.01590","0.01580","0.00%"
"Jul 23, 2019","0.01580","0.01580","0.01590","0.01580","-0.32%"
"Jul 22, 2019","0.01585","0.01595","0.01595","0.01585","-0.10%"
"Jul 21, 2019","0.01587","0.01587","0.01587","0.01587","-0.22%"
"Jul 19, 2019","0.01590","0.01590","0.01590","0.01580","0.00%"
"Jul 18, 2019","0.01590","0.01590","0.01590","0.01580","0.00%"
"Jul 17, 2019","0.01590","0.01590","0.01590","0.01580","0.00%"
"Jul 16, 2019","0.01590","0.01600","0.01600","0.01580","-0.62%"
"Jul 15, 2019","0.01600","0.01580","0.01600","0.01580","0.72%"
"Jul 14, 2019","0.01589","0.01589","0.01589","0.01589","-0.09%"
"Jul 12, 2019","0.01590","0.01590","0.01590","0.01580","0.00%"
"Jul 11, 2019","0.01590","0.01580","0.01590","0.01580","0.32%"
"Jul 10, 2019","0.01585","0.01575","0.01585","0.01565","0.96%"
"Jul 09, 2019","0.01570","0.01570","0.01570","0.01560","0.00%"
"Jul 08, 2019","0.01570","0.01570","0.01580","0.01560","0.19%"
"Jul 07, 2019","0.01567","0.01567","0.01567","0.01567","-0.19%"
"Jul 05, 2019","0.01570","0.01580","0.01580","0.01570","-0.32%"
"Jul 04, 2019","0.01575","0.01585","0.01585","0.01575","-0.32%"
"Jul 03, 2019","0.01580","0.01580","0.01580","0.01570","0.00%"
"Jul 02, 2019","0.01580","0.01590","0.01590","0.01580","-0.63%"
"Jul 01, 2019","0.01590","0.01570","0.01590","0.01570","0.54%"
"Jun 30, 2019","0.01582","0.01582","0.01582","0.01582","0.10%"
"Jun 28, 2019","0.01580","0.01590","0.01590","0.01580","-0.63%"
"Jun 27, 2019","0.01590","0.01590","0.01590","0.01580","0.00%"
"Jun 26, 2019","0.01590","0.01590","0.01590","0.01580","0.00%"
"Jun 25, 2019","0.01590","0.01600","0.01600","0.01590","-0.62%"
"Jun 24, 2019","0.01600","0.01580","0.01600","0.01580","0.81%"
"Jun 23, 2019","0.01587","0.01587","0.01587","0.01587","-0.18%"
"Jun 21, 2019","0.01590","0.01590","0.01590","0.01570","0.00%"
"Jun 20, 2019","0.01590","0.01570","0.01590","0.01570","1.27%"
"Jun 19, 2019","0.01570","0.01560","0.01570","0.01560","0.64%"
"Jun 18, 2019","0.01560","0.01550","0.01560","0.01550","0.32%"
"Jun 17, 2019","0.01555","0.01555","0.01565","0.01555","0.13%"
"Jun 16, 2019","0.01553","0.01553","0.01553","0.01553","0.19%"
"Jun 14, 2019","0.01550","0.01550","0.01560","0.01550","0.00%"
"Jun 13, 2019","0.01550","0.01540","0.01550","0.01540","0.65%"
"Jun 12, 2019","0.01540","0.01550","0.01550","0.01540","-0.65%"
"Jun 11, 2019","0.01550","0.01540","0.01550","0.01540","0.65%"
"Jun 10, 2019","0.01540","0.01540","0.01550","0.01540","-0.10%"
"Jun 09, 2019","0.01542","0.01542","0.01542","0.01542","0.10%"
"Jun 07, 2019","0.01540","0.01540","0.01540","0.01530","0.00%"
"Jun 06, 2019","0.01540","0.01530","0.01540","0.01530","0.65%"
"Jun 05, 2019","0.01530","0.01530","0.01540","0.01530","-0.33%"
"Jun 04, 2019","0.01535","0.01535","0.01545","0.01535","0.33%"
"Jun 03, 2019","0.01530","0.01530","0.01530","0.01520","0.11%"
"Jun 02, 2019","0.01528","0.01528","0.01528","0.01528","0.22%"
"May 31, 2019","0.01525","0.01535","0.01545","0.01525","-0.33%"
"May 30, 2019","0.01530","0.01540","0.01540","0.01530","-0.65%"
"May 29, 2019","0.01540","0.01550","0.01550","0.01530","-0.65%"
"May 28, 2019","0.01550","0.01550","0.01550","0.01540","0.00%"
